#,height,body_weight,body_fat_percentage,A_hand,Forearm_length,Upper_arm_length,Foot_length,Crim_length,Thigh_length,Head_and_neck_manager,Cervical_circumference,Upper_brachial_circumference,Front_arm_maximum_enclosure,Upper_chest_circumference,Abdominal_circumference,Femur_circumference,Crim_circumference,Owl_head_lower_edge_height,Shoulder_peak_height
OS000701,149.4,42.6,18.6,16,22.1,29.8,23,33.7,43,18.4,33.4,20.7,20.3,80.4,75.7,43.4,28.8,96.2,126
OS000801,166.4,79.7,24.3,19.7,23,29.5,25,38.4,39.9,24.8,40.5,30,29.4,102,97,50,39,103.1,135.8
OS000901,148.3,49.2,28.3,18,21.5,25.8,22.5,34.4,38.4,22.6,33,24.6,21.5,86,81,44.7,32.5,90,119.7
OS001001,144.1,47,26,16.8,21.7,27.6,22,34,39.1,20.2,35,24.3,22,81.4,88,45.5,34.2,84.7,114.9
OS001201,158.7,49.4,15,18,24.1,28.9,24.3,37,38,23.7,36,23.4,23.7,84.6,74.5,41.7,32.9,98.9,132
OS001301,153.7,57.1,33.1,16.9,21.6,28.7,21.5,35.2,40.2,23.1,35.7,27,23.4,95,84.3,44.3,34.4,94.2,124.1
OS001401,145.4,55.1,36,17.4,21.6,26.3,21.5,31.3,39.6,20.4,36.7,28.5,24.2,90.3,84.8,47,34.2,87.7,117.7
OS001501,168.9,73.2,24.7,18.8,26,30.9,24.8,35.7,47.3,20.5,40.8,,24,111.3,98.3,53.5,38.1,106.1,137
OS001601,163.6,55,15.1,18.8,25.3,31.4,24,38.3,45.2,23.6,36.5,22.3,24,88,80.5,43.5,33,99.7,134.6
OS001701,153.4,63.4,40.1,18.6,21.9,28.9,22,35.1,36.1,23,37,33,25,99,89,49,35.7,92,123.7
OS001801,152.4,50.8,28.8,17.4,22.6,27.1,23,35,39,21.9,33.5,25.5,23,89.5,74.8,47.3,34,91,123.7
OS001901,170.7,72.6,24.3,21.4,25.3,29.6,26,38.1,45.4,24.6,38.2,29,26,96,92,53,35.5,106.6,139.8
OS002001,162.3,67.1,25.8,18.2,24.3,30.4,25.3,37.9,43.9,21.3,38,27.4,25.9,92.6,98.9,51,36.3,103.7,134.8
OS002101,164.8,66.6,19.8,18.3,24.3,29.7,25.5,34.2,39.6,26.3,37.4,28.4,26.8,95.5,80.5,53.3,38.2,99.7,131.4
